,Name,Price
67,"MSI Stealth 15 A13VF-038US Gaming Laptop Intel Core i5-13420H 2.10 GHz 15.6"" Windows 11 Home 64-bit",1249
68,"Razer RZ09-0483UEJ4-R3U1 Gaming Laptop Intel Core i9-13950HX 2.20GHz 16.0"" Windows 11 Home",4799
69,"Razer RZ09-0483TEH3-R3U1 Gaming Laptop Intel Core i9-13950HX 2.20GHz 16.0"" QHD+ Windows 11 Home",3199.99
70,"Acer PH16-71-94FB Gaming Laptop Intel Core i9-13900HX 3.00 GHz 16.0"" Windows 11 Home 64-bit",2399.99
71,"Acer AN16-51-56VR Gaming Laptop Intel Core i5-13500H 2.60 GHz 16.0"" Windows 11 Home 64-bit",1181.99
72,"Acer Predator Helios 16 PH16-71-948L Intel Core i9 13th Gen 13900HX (2.20GHz) NVIDIA GeForce RTX 4080 Laptop GPU 32 GB DDR5 1 TB PCIe Gen 4 SSD 16"" WQXGA 240 Hz IPS Windows 11 Home Gaming Laptop",2526.59
73,"Acer AN515-58-73RS Gaming Laptop Intel Core i7-12650H 2.30 GHz 15.6"" Windows 11 Home 64-bit",1160.99
74,New MSI GF63 Thin 15.6 inch Full HD 144Hz Gaming NVIDIA GeForce RTX 3050 Intel Core i5-11400H 32GB RAM 2TB SSD WiFi 6; Bluetooth 5.1 Windows 11 Home Black,923.12
75,"Lenovo IdeaPad Gaming 3 AMD Laptop, 15.6"" FHD IPS, Ryzen 5 7535HS,  RTX NVIDIA® GeForce RTX 3050 Laptop GPU 6GB GDDR6, 8GB, 512GB, For Gaming",689.99
76,"Lenovo LOQ Laptop, 15.6"" FHD IPS, i5-13500H, NVIDIA® GeForce RTX 3050 Laptop GPU 6GB GDDR6, 8GB, 512GB, For Gaming",694.99
77,"[2023] HIDevolution ASUS ROG Strix G17 G713PI 17.3"" WQHD 240Hz, 2.5 GHz Ryzen 9 7945HX, RTX 4070, 32 GB DDR5 RAM, 2 TB PCIe SSD, Windows 11 Home",2159
78,"[2023] HIDevolution ASUS ROG Strix G17 G713PI 17.3"" WQHD 240Hz, 2.5 GHz Ryzen 9 7945HX, RTX 4070, 64 GB DDR5 RAM, 2 TB PCIe SSD, Windows 11 Home",2299
79,"[2023] HIDevolution ASUS ROG Strix G17 G713PI 17.3"" WQHD 240Hz, 2.5 GHz Ryzen 9 7945HX, RTX 4070, 32 GB DDR5 RAM, 1 TB PCIe SSD, Windows 11 Home",2079
80,"[2023] HIDevolution ASUS TUF Gaming A17 FA707NU 17.3"" FHD 144Hz, 3.2 GHz Ryzen 7 7735HS, RTX 4050, 32 GB DDR5 RAM, 1 TB PCIe SSD, Windows 11 Home",1129
81,"[2023] HIDevolution ASUS ROG Zephyrus M16 AniMe Matrix GU604VY 16"" QHD+ 240Hz, 2.6 GHz i9-13900H, RTX 4090, 64 GB DDR5 RAM, 2 TB PCIe SSD, Windows 11 Pro",3579
82,"[2023] HIDevolution ASUS TUF Gaming A17 FA707NV 17.3"" FHD 144Hz, 3.2 GHz Ryzen 7 7735HS, RTX 4060, 32 GB DDR5 RAM, 1 TB PCIe SSD, Windows 11 Home",1329
83,"[2023] HIDevolution ASUS TUF Gaming A17 FA707NU 17.3"" FHD 144Hz, 3.2 GHz Ryzen 7 7735HS, RTX 4050, 32 GB DDR5 RAM, 2 TB PCIe SSD, Windows 11 Home",1209
84,"[2023] HIDevolution ASUS ROG Zephyrus G14 GA402XY 14"" WQXGA 165Hz, 4.0 GHz Ryzen 9 7940HS, RTX 4090, 32 GB DDR5 RAM, 1 TB PCIe SSD, Windows 11 Pro",2999
85,"[2023] HIDevolution ASUS ROG Zephyrus M16 GU604VZ 16"" QHD+ 240Hz, 2.6 GHz i9-13900H, RTX 4080, 16 GB DDR5 RAM, 1 TB PCIe SSD, Windows 11 Home",2599
86,"[2023] HIDevolution ASUS ROG Zephyrus G14 GA402XZ AniMe Matrix 14"" WQXGA 165Hz, 4.0 GHz Ryzen 9 7940HS, RTX 4080, 16 GB DDR5 RAM, 1 TB PCIe SSD, Windows 11 Home",2399
87,"[2023] HIDevolution ASUS TUF Gaming A17 FA707NV 17.3"" FHD 144Hz, 3.2 GHz Ryzen 7 7735HS, RTX 4060, 16 GB DDR5 RAM, 2 TB PCIe SSD, Windows 11 Home",1329
88,"Hasee S8 (15.6'', i5-12450H, RTX4050), Gaming Laptop, i5-12450H 4.4GHz, 16G DDR4 RAM, 512G NVMe PCIe4.0 SSD, RTX4050 6G GDDR6, 15.6'' 144Hz FHD IPS Display, Backlit KB, WF6,BT5.2, Win11, Desert Black",799.99
89,"ASUS VivoBook Pro 16 Laptop, 16” Display, Intel Core i9-13900H CPU, NVIDIA GeForce RTX 4060 GPU, 16GB RAM, 512GB SSD, Windows 11 Home, Quiet Blue, K6602VV-DS94",1499.99
90,"MSI 2-in-1 Laptop Summit E16Flip Intel Core i7-1260P 2.10 GHz 16"" Windows 11 Pro 64-bit Summit E16Flip A12UCT-008",1571.54
91,"Microsoft Surface Pro 7+ 2-in-1 Laptop Intel Core i5-1135G7 2.40 GHz 12.3"" Windows 10 Pro 64-bit 1NA-00001",869
92,"MSI Modern 15H 15.6"" Ultra Thin and Light Professional Laptop Intel® Core™ i7-13620H Iris Xe 32GB DDR4 1TB NVMe SSD Win 11 Home B13M-021US",699
93,"MSI Prestige 14 Evo Laptop Intel Core i7 12th Gen 1280P (1.80GHz) 32GB Memory 1 TB NVMe SSD Intel Iris Xe Graphics 14.0"" Windows 11 Home 64-bit A12M-054",799
94,"Lenovo Laptop IdeaPad Slim 5 AMD Ryzen 7 7000 Series 7730U (2.00GHz) 16GB Memory 512 GB NVMe SSD AMD Radeon Graphics 16.0"" Touchscreen Windows 11 Home 64-bit 82XG0019US",619.99
95,"Microsoft Surface Laptop Studio - 14.4"" Touchscreen - Intel® Core™ i7 - 16GB Memory - 512GB SSD - Platinum",2097.99
